timestamp,equity
2020-01-03 13:23:00,1000000.0
2020-01-03 13:24:00,1000000.0
2020-01-03 13:25:00,1000000.0
2020-01-03 13:26:00,999006.2500000001
2020-01-03 13:27:00,999906.25
2020-01-03 13:28:00,999925.0000000005
2020-01-03 13:29:00,999700.0000000002
2020-01-03 13:30:00,1000918.7500000002
2020-01-03 13:31:00,1000956.2500000005
2020-01-03 13:32:00,1000806.2499999999
2020-01-03 13:33:00,1000112.5000000005
2020-01-03 13:34:00,999287.5000000001
2020-01-03 13:35:00,999306.2499999999
2020-01-03 13:36:00,999081.2500000005
2020-01-03 13:37:00,999493.7499999999
2020-01-03 13:38:00,998818.7500000001
2020-01-03 13:39:00,999043.7500000002
2020-01-03 13:40:00,999325.0000000002
2020-01-03 13:41:00,999100.0000000001
2020-01-03 13:42:00,998668.7500000002
2020-01-03 13:43:00,998800.0000000005
2020-01-03 13:44:00,1000956.2500000005
2020-01-03 13:45:00,1001931.2499999999
2020-01-03 13:46:00,1001237.5000000005
2020-01-03 13:47:00,1001781.25
2020-01-03 13:48:00,1001818.7500000001
2020-01-03 13:49:00,1001706.2500000005
2020-01-03 13:50:00,1001950.0000000002
2020-01-03 13:51:00,1002756.2500000001
2020-01-03 13:52:00,1002550.0000000005
2020-01-03 13:53:00,1002550.0000000005
2020-01-03 13:54:00,1002568.7500000001
2020-01-03 13:55:00,1001012.5000000002
2020-01-03 13:56:00,1000825.0000000002
2020-01-03 13:57:00,1000206.2500000005
2020-01-03 13:58:00,1000937.5
2020-01-03 13:59:00,1000618.7499999999
2020-01-03 14:00:00,1000524.9999999999
2020-01-03 14:01:00,1001575.0000000002
2020-01-03 14:02:00,1001687.5
2020-01-03 14:03:00,1001743.7499999999
2020-01-03 14:04:00,1003000.0
2020-01-03 14:05:00,1003318.7500000001
2020-01-03 14:06:00,1003562.5
2020-01-03 14:07:00,1004575.0000000002
2020-01-03 14:08:00,1004631.2500000001
2020-01-03 14:09:00,1002587.4999999999
2020-01-03 14:10:00,1003149.9999999999
2020-01-03 14:11:00,1003487.5000000005
2020-01-03 14:12:00,1003693.7500000001
2020-01-03 14:13:00,1004218.75
2020-01-03 14:14:00,1005024.9999999999
2020-01-03 14:15:00,1005606.2500000003
2020-01-03 14:16:00,1005287.5000000001
2020-01-03 14:17:00,1004800.0000000005
2020-01-03 14:18:00,1004912.5000000001
2020-01-03 14:19:00,1004649.9999999999
2020-01-03 14:20:00,1003712.4999999999
2020-01-03 14:21:00,1003637.5000000003
2020-01-03 14:22:00,1004350.0000000001
2020-01-03 14:23:00,1005625.0
2020-01-03 14:24:00,1006581.2500000005
2020-01-03 14:25:00,1007368.7499999999
2020-01-03 14:26:00,1008100.0000000001
2020-01-03 14:27:00,1007612.5000000005
2020-01-03 14:28:00,1005925.0000000005
2020-01-03 14:29:00,1005550.0000000005
2020-01-03 14:30:00,1006506.2500000001
2020-01-03 14:31:00,1007218.75
2020-01-03 14:32:00,1007087.4999999999
2020-01-03 14:33:00,1006562.5
2020-01-03 14:34:00,1006356.2500000003
2020-01-03 14:35:00,1005550.0000000005
2020-01-03 14:36:00,1002343.75
2020-01-03 14:37:00,1002493.7499999999
2020-01-03 14:38:00,1004218.75
2020-01-03 14:39:00,1005081.2500000005
2020-01-03 14:40:00,1005306.2499999999
2020-01-03 14:41:00,1006356.2500000003
2020-01-03 14:42:00,1006918.7500000003
2020-01-03 14:43:00,1007500.0
2020-01-03 14:44:00,1007950.0000000003
2020-01-03 14:45:00,1008081.2500000005
2020-01-03 14:46:00,1009112.5000000005
2020-01-03 14:47:00,1008662.5000000001
2020-01-03 14:48:00,1009075.0000000003
2020-01-03 14:49:00,1008531.25
2020-01-03 14:50:00,1011399.9999999999
2020-01-03 14:51:00,1011962.4999999999
2020-01-03 14:52:00,1011925.0000000005
2020-01-03 14:53:00,1012787.5000000001
2020-01-03 14:54:00,1011850.0000000001
2020-01-03 14:55:00,1011606.2500000003
2020-01-03 14:56:00,1011606.2500000003
2020-01-03 14:57:00,1011606.2500000003
2020-01-03 14:58:00,1011606.2500000003
2020-01-03 14:59:00,1011606.2500000003
2020-01-03 15:00:00,1005962.5000000006
2020-01-03 15:01:00,1005962.5000000006
2020-01-03 15:02:00,1005962.5000000006
2020-01-03 15:03:00,1007575.000000001
2020-01-03 15:04:00,1007443.7500000008
2020-01-03 15:05:00,1011287.5000000008
2020-01-03 15:06:00,1010031.2500000007
2020-01-03 15:07:00,1010368.7500000006
2020-01-03 15:08:00,1012450.000000001
2020-01-03 15:09:00,1011212.5000000006
2020-01-03 15:10:00,1010593.7500000007
2020-01-03 15:11:00,1009412.5000000008
2020-01-03 15:12:00,1010162.5000000008
2020-01-03 15:13:00,1010481.250000001
2020-01-03 15:14:00,1010031.2500000007
2020-01-03 15:15:00,1011700.000000001
2020-01-03 15:16:00,1010518.7500000005
2020-01-03 15:17:00,1011343.7500000007
2020-01-03 15:18:00,1011231.250000001
2020-01-03 15:19:00,1010406.2500000007
2020-01-03 15:20:00,1010837.5000000006
2020-01-03 15:21:00,1010106.250000001
2020-01-03 15:22:00,1010762.500000001
2020-01-03 15:23:00,1011700.000000001
2020-01-03 15:24:00,1011756.2500000008
2020-01-03 15:25:00,1011212.5000000006
2020-01-03 15:26:00,1011287.5000000008
2020-01-03 15:27:00,1011381.2500000008
2020-01-03 15:28:00,1011025.0000000006
2020-01-03 15:29:00,1009900.0000000006
2020-01-03 15:30:00,1009900.0000000006
2020-01-06 09:15:00,980237.5000000005
2020-01-06 09:16:00,980237.5000000005
2020-01-06 09:17:00,980237.5000000005
2020-01-06 09:18:00,980237.5000000005
2020-01-06 09:19:00,980237.5000000005
2020-01-06 09:20:00,980237.5000000005
2020-01-06 09:21:00,980237.5000000005
2020-01-06 09:22:00,980237.5000000005
2020-01-06 09:23:00,980237.5000000005
2020-01-06 09:24:00,980237.5000000005
2020-01-06 09:25:00,980237.5000000005
2020-01-06 09:26:00,980237.5000000005
2020-01-06 09:27:00,980237.5000000005
2020-01-06 09:28:00,980237.5000000005
2020-01-06 09:29:00,980237.5000000005
2020-01-06 09:30:00,980237.5000000005
2020-01-06 09:31:00,980237.5000000005
2020-01-06 09:32:00,980237.5000000005
2020-01-06 09:33:00,980237.5000000005
2020-01-06 09:34:00,980237.5000000005
2020-01-06 09:35:00,980237.5000000005
2020-01-06 09:36:00,980237.5000000005
2020-01-06 09:37:00,980237.5000000005
2020-01-06 09:38:00,980237.5000000005
2020-01-06 09:39:00,980237.5000000005
2020-01-06 09:40:00,980237.5000000005
2020-01-06 09:41:00,980237.5000000005
2020-01-06 09:42:00,980237.5000000005
2020-01-06 09:43:00,980237.5000000005
2020-01-06 09:44:00,980237.5000000005
2020-01-06 09:45:00,980237.5000000005
2020-01-06 09:46:00,980237.5000000005
2020-01-06 09:47:00,980237.5000000005
2020-01-06 09:48:00,980237.5000000005
2020-01-06 09:49:00,980237.5000000005
2020-01-06 09:50:00,980237.5000000005
2020-01-06 09:51:00,980237.5000000005
2020-01-06 09:52:00,980237.5000000005
2020-01-06 09:53:00,980237.5000000005
2020-01-06 09:54:00,980237.5000000005
2020-01-06 09:55:00,980237.5000000005
2020-01-06 09:56:00,980237.5000000005
2020-01-06 09:57:00,980237.5000000005
2020-01-06 09:58:00,980237.5000000005
2020-01-06 09:59:00,980237.5000000005
2020-01-06 10:00:00,980237.5000000005
2020-01-06 10:01:00,980237.5000000005
2020-01-06 10:02:00,980237.5000000005
2020-01-06 10:03:00,980237.5000000005
2020-01-06 10:04:00,980237.5000000005
2020-01-06 10:05:00,980237.5000000005
2020-01-06 10:06:00,980237.5000000005
2020-01-06 10:07:00,980237.5000000005
2020-01-06 10:08:00,980237.5000000005
2020-01-06 10:09:00,980237.5000000005
2020-01-06 10:10:00,980237.5000000005
2020-01-06 10:11:00,980237.5000000005
2020-01-06 10:12:00,980237.5000000005
2020-01-06 10:13:00,980237.5000000005
2020-01-06 10:14:00,980237.5000000005
2020-01-06 10:15:00,980237.5000000005
2020-01-06 10:16:00,980237.5000000005
2020-01-06 10:17:00,981587.5000000006
2020-01-06 10:18:00,981737.5000000005
2020-01-06 10:19:00,981587.5000000006
2020-01-06 10:20:00,981700.000000001
2020-01-06 10:21:00,981718.7500000007
2020-01-06 10:22:00,982618.7500000006
2020-01-06 10:23:00,982318.7500000009
2020-01-06 10:24:00,982937.5000000007
2020-01-06 10:25:00,984362.5000000005
2020-01-06 10:26:00,984418.750000001
2020-01-06 10:27:00,982750.0000000007
2020-01-06 10:28:00,982168.750000001
2020-01-06 10:29:00,982168.750000001
2020-01-06 10:30:00,980406.2500000007
2020-01-06 10:31:00,978212.5000000006
2020-01-06 10:32:00,977200.000000001
2020-01-06 10:33:00,975943.7500000009
2020-01-06 10:34:00,975943.7500000009
2020-01-06 10:35:00,975418.7500000009
2020-01-06 10:36:00,974923.750000001
2020-01-06 10:37:00,975268.7500000009
2020-01-06 10:38:00,975448.750000001
2020-01-06 10:39:00,976423.750000001
2020-01-06 10:40:00,976138.7500000008
2020-01-06 10:41:00,975118.7500000009
2020-01-06 10:42:00,974623.750000001
2020-01-06 10:43:00,975103.7500000012
2020-01-06 10:44:00,975208.7500000013
2020-01-06 10:45:00,974713.7500000008
2020-01-06 10:46:00,972853.7500000012
2020-01-06 10:47:00,972853.7500000012
2020-01-06 10:48:00,972853.7500000012
2020-01-06 10:49:00,972853.7500000012
2020-01-06 10:50:00,972853.7500000012
2020-01-06 10:51:00,973086.2500000013
2020-01-06 10:52:00,973266.2500000012
2020-01-06 10:53:00,973108.7500000013
2020-01-06 10:54:00,973378.7500000012
2020-01-06 10:55:00,973236.2500000013
2020-01-06 10:56:00,973093.7500000012
2020-01-06 10:57:00,973416.2500000012
2020-01-06 10:58:00,973536.2500000013
2020-01-06 10:59:00,973731.2500000012
2020-01-06 11:00:00,974271.2500000013
2020-01-06 11:01:00,974803.7500000012
2020-01-06 11:02:00,974886.2500000013
2020-01-06 11:03:00,974668.7500000012
2020-01-06 11:04:00,974691.2500000012
2020-01-06 11:05:00,974638.7500000014
2020-01-06 11:06:00,974533.7500000013
2020-01-06 11:07:00,974173.7500000013
2020-01-06 11:08:00,974398.7500000013
2020-01-06 11:09:00,974646.2500000013
2020-01-06 11:10:00,974856.2500000012
2020-01-06 11:11:00,974781.2500000012
2020-01-06 11:12:00,974721.2500000013
2020-01-06 11:13:00,974556.2500000012
2020-01-06 11:14:00,974908.7500000013
2020-01-06 11:15:00,975591.2500000012
2020-01-06 11:16:00,975456.2500000012
2020-01-06 11:17:00,975126.2500000014
2020-01-06 11:18:00,975201.2500000014
2020-01-06 11:19:00,975508.7500000013
2020-01-06 11:20:00,975606.2500000012
2020-01-06 11:21:00,975943.7500000012
2020-01-06 11:22:00,975688.7500000014
2020-01-06 11:23:00,975771.2500000013
2020-01-06 11:24:00,976273.7500000013
2020-01-06 11:25:00,978231.2500000012
2020-01-06 11:26:00,978231.2500000012
2020-01-06 11:27:00,978231.2500000012
2020-01-06 11:28:00,978231.2500000012
2020-01-06 11:29:00,978231.2500000012
2020-01-06 11:30:00,978231.2500000012
2020-01-06 11:31:00,978231.2500000012
2020-01-06 11:32:00,978231.2500000012
2020-01-06 11:33:00,978231.2500000012
2020-01-06 11:34:00,978231.2500000012
2020-01-06 11:35:00,978231.2500000012
2020-01-06 11:36:00,978231.2500000012
2020-01-06 11:37:00,978231.2500000012
2020-01-06 11:38:00,978231.2500000012
2020-01-06 11:39:00,978231.2500000012
2020-01-06 11:40:00,978231.2500000012
2020-01-06 11:41:00,978231.2500000012
2020-01-06 11:42:00,978231.2500000012
2020-01-06 11:43:00,978231.2500000012
2020-01-06 11:44:00,978231.2500000012
2020-01-06 11:45:00,979693.7500000017
2020-01-06 11:46:00,978437.5000000016
2020-01-06 11:47:00,979206.2500000013
2020-01-06 11:48:00,978531.2500000016
2020-01-06 11:49:00,979506.2500000017
2020-01-06 11:50:00,979806.2500000014
2020-01-06 11:51:00,979843.7500000016
2020-01-06 11:52:00,979243.7500000014
2020-01-06 11:53:00,977312.5000000016
2020-01-06 11:54:00,978793.7500000012
2020-01-06 11:55:00,978400.0000000014
2020-01-06 11:56:00,978906.2500000016
2020-01-06 11:57:00,978081.2500000013
2020-01-06 11:58:00,978212.5000000014
2020-01-06 11:59:00,977856.2500000012
2020-01-06 12:00:00,977706.2500000013
2020-01-06 12:01:00,977706.2500000013
2020-01-06 12:02:00,978325.0000000012
2020-01-06 12:03:00,979075.0000000012
2020-01-06 12:04:00,981718.7500000016
2020-01-06 12:05:00,982637.5000000012
2020-01-06 12:06:00,983200.0000000012
2020-01-06 12:07:00,982675.0000000013
