trade_id,action,type,timestamp,entry_price,exit_price,stop_loss,take_profit,lots,quantity,risk_amount,risk_percent,pnl,pnl_points,pnl_percent,duration_bars,exit_reason,signal_reason,consecutive_losses,win_streak,capital_at_entry,entry_open,entry_high,entry_low,entry_close,entry_volume,entry_EMA_8,entry_EMA_21,entry_EMA_50,entry_RSI,entry_MACD,entry_MACD_signal,entry_MACD_hist,entry_ATR,entry_BB_width,entry_ema8_vs_ema21,entry_price_vs_ema50,entry_returns_1min,entry_hour,entry_minute,entry_day_of_week,entry_has_open_position,entry_consecutive_losses,entry_win_streak,entry_capital,exit_open,exit_high,exit_low,exit_close,exit_volume,exit_EMA_8,exit_EMA_21,exit_EMA_50,exit_RSI,exit_MACD,exit_MACD_signal,exit_MACD_hist,exit_ATR,exit_BB_width,exit_ema8_vs_ema21,exit_price_vs_ema50,exit_returns_1min,exit_hour,exit_minute,exit_day_of_week,exit_has_open_position,exit_consecutive_losses,exit_win_streak,exit_capital,data_type
1,SELL,SELL_MODERATE,2020-01-03 13:25:00,12227.6,12219.2,12237.6,12197.6,5,375,3750.0,0.375,3149.9999999998636,8.399999999999636,0.06869704602701786,45,TIME_EXIT,"EMA8<EMA21, Price<EMA50, RSI=31.4, MACD_hist=-0.99",0,0,1000000.0,12225.85,12227.95,12225.2,12227.6,0.0,12229.722960894502,12231.21304891243,12230.516078898247,31.37891504263679,-0.6335940371991455,0.3605476427955354,-0.994141679994681,6.113458333333333,0.0011540619028422858,-1.4900880179284286,-0.00023842648007943446,0.013904906796224914,13,25,4,False,0,0,1000000.0,12220.85,12220.85,12218.75,12219.2,0.0,12219.260666468432,12221.49310691607,12224.352391642167,36.28093834895447,-2.1102827191443794,-1.823396873615983,-0.28688584552839647,6.1098,0.0011339334949141669,-2.23244044763851,-0.0004214858568449831,-0.012274255975519566,14,10,4,True,0,0,1000000.0,EXECUTED_TRADE
2,SELL,SELL_MODERATE,2020-01-03 14:10:00,12219.2,12196.65,12229.2,12189.2,5,375,3750.0,0.37382245925335195,8456.25000000041,22.55000000000109,0.18454563310201233,45,TIME_EXIT,"EMA8<EMA21, Price<EMA50, RSI=36.3, MACD_hist=-0.29",0,1,1003149.9999999999,12220.85,12220.85,12218.75,12219.2,0.0,12219.260666468432,12221.49310691607,12224.352391642167,36.28093834895447,-2.1102827191443794,-1.823396873615983,-0.28688584552839647,6.1098,0.0011339334949141669,-2.23244044763851,-0.0004214858568449831,-0.012274255975519566,14,10,4,False,0,1,1003149.9999999999,12196.55,12198.8,12196.1,12196.65,0.0,12198.069165542556,12203.37606024367,12209.678701462444,22.866976210592455,-4.763527161172533,-3.8307382010410134,-0.9327889601315196,6.0985916666666675,0.0027819511464928243,-5.306894701114288,-0.0010670797963654444,0.005329616267624182,14,55,4,True,0,1,1003149.9999999999,EXECUTED_TRADE
3,SELL,SELL_MODERATE,2020-01-03 14:59:00,12197.1,12212.15,12207.1,12167.1,5,375,3750.0,0.37069759108348715,-5643.749999999727,-15.049999999999272,-0.12338998614424145,1,STOP_LOSS,"EMA8<EMA21, Price<EMA50, RSI=35.0, MACD_hist=-0.20",0,2,1011606.2500000003,12193.7,12197.1,12193.15,12197.1,0.0,12196.413361753952,12200.860235123058,12207.573677096869,35.00673335254159,-4.519140845264701,-4.320970643368861,-0.19817020189583978,6.0978916666666665,0.0020677966227314773,-4.44687336910647,-0.0008579655035396705,0.0303442846129931,14,59,4,False,0,2,1011606.2500000003,12196.9,12213.15,12196.6,12212.15,0.0,12199.910392475294,12201.886577384597,12207.75314074013,60.49621127649431,-3.038841950283313,-4.064544904751752,1.0257029544684393,6.103650000000001,0.002026380222805206,-1.9761849093029014,0.00036016941112593237,0.12338998614425112,15,0,4,True,0,2,1011606.2500000003,EXECUTED_TRADE
4,BUY,BUY_MODERATE,2020-01-03 15:02:00,12216.15,12147.55,12206.15,12246.15,5,375,3750.0,0.3727773152577753,-25725.00000000014,-68.60000000000036,-0.5615517163754569,29,STOP_LOSS,"EMA8>EMA21, Price>EMA50, RSI=64.5, MACD_hist=2.59",1,0,1005962.5000000006,12216.35,12218.0,12216.0,12216.15,0.0,12206.334681867771,12204.366179656692,12208.400688549425,64.50306474879048,-0.3190937432300416,-2.9085444497967523,2.5894507065667107,6.108358333333333,0.0023938386585147897,1.968502211078885,0.0006347523847118897,-0.0004092925787180235,15,2,4,False,1,0,1005962.5000000006,12170.6,12179.1,12146.05,12147.55,0.0,12210.640796399632,12219.984206266372,12219.181053422266,6.319022152385287,-4.096651143048803,2.115242871535477,-6.21189401458428,9.199999999999948,0.005992641597015196,-9.34340986674033,-0.00586218119766746,-0.6469474467658776,9,15,0,True,1,0,1005962.5000000006,EXECUTED_TRADE
5,SELL,SELL_MODERATE,2020-01-06 10:16:00,12086.45,12097.9,12096.45,12056.45,5,375,3750.0,0.382560348895038,-4293.749999999591,-11.449999999998909,-0.09473418580310107,17,STOP_LOSS,"EMA8<EMA21, Price<EMA50, RSI=46.6, MACD_hist=-0.08",2,0,980237.5000000005,12086.35,12087.15,12084.85,12086.45,0.0,12088.342053125234,12089.218824172469,12101.02562708255,46.62554630535004,-1.2252564912741946,-1.145441528260595,-0.07981496301359958,6.043075,0.0010953563809460783,-0.8767710472347972,-0.0012044951834436768,-0.002482056797725729,10,16,0,False,2,0,980237.5000000005,12094.1,12098.45,12093.85,12097.9,0.0,12088.781465432294,12086.006125119517,12092.648674893226,73.69753774636595,0.774018881846132,-1.46288739329216,2.236906275138292,6.048366666666668,0.0019078052534117432,2.775340312777189,0.00043425764263504973,0.027698426150624122,10,33,0,True,2,0,980237.5000000005,EXECUTED_TRADE
6,BUY,BUY_MODERATE,2020-01-06 10:34:00,12094.65,12084.35,12084.65,12124.65,4,300,3000.0,0.30739476532330856,-3089.9999999997817,-10.299999999999272,-0.08516162104731656,12,STOP_LOSS,"EMA8>EMA21, Price>EMA50, RSI=67.4, MACD_hist=2.23",3,0,975943.7500000009,12097.7,12097.9,12094.4,12094.65,0.0,12090.085584225119,12086.791931926833,12092.727158230746,67.43243788435156,1.3271778642301797,-0.9048743417876921,2.2320522060178716,6.047825,0.002057698390520342,3.2936522982854513,0.00015900811653923874,-0.026864166508233644,10,34,0,False,3,0,975943.7500000009,12089.7,12090.9,12083.35,12084.35,0.0,12090.181203141334,12089.843563918459,12092.305813572582,33.440038439813534,0.8395475711586187,1.4683845217743863,-0.6288369506157676,6.0431,0.0017176354548469755,0.3376392228747136,-0.0006579236164910851,-0.05127971845779733,10,46,0,True,3,0,975943.7500000009,EXECUTED_TRADE
7,SELL,SELL_MODERATE,2020-01-06 10:50:00,12084.95,12049.1,12094.95,12054.95,2,150,1500.0,0.1541855597514013,5377.500000000055,35.850000000000364,0.29664996545290107,35,TAKE_PROFIT,"EMA8<EMA21, Price<EMA50, RSI=39.4, MACD_hist=-1.31",4,0,972853.7500000012,12079.25,12085.45,12079.25,12084.95,0.0,12085.335370940762,12087.49375651831,12090.841496666402,39.3920825280978,-1.1370937564370251,0.16923941971357434,-1.3063331761505994,6.0416083333333335,0.0016757772732911944,-2.1583855775479606,-0.0004872693656621241,0.03932054105064697,10,50,0,False,4,0,972853.7500000012,12060.95,12060.95,12047.2,12049.1,0.0,12062.202586685991,12067.871517446423,12075.292111244207,17.69593330598896,-4.97497419157844,-3.8419546891125105,-1.1330195024659293,6.026208333333333,0.001977413081110493,-5.6689307604319765,-0.0021690664708490237,-0.10818966767947025,11,25,0,True,4,0,972853.7500000012,EXECUTED_TRADE
8,SELL,SELL_MODERATE,2020-01-06 11:44:00,12033.45,12031.65,12043.45,12003.45,5,375,3750.0,0.3833449401662435,675.0000000004093,1.8000000000010914,0.014958303728366274,45,TIME_EXIT,"EMA8<EMA21, Price<EMA50, RSI=32.6, MACD_hist=-0.29",0,1,978231.2500000012,12032.9,12035.0,12032.45,12033.45,0.0,12038.574820880975,12045.673697962742,12057.874050230539,32.58009786323839,-7.2884336044171505,-6.996797508348513,-0.29163609606863705,6.016816666666667,0.0016402903026383946,-7.098877081767569,-0.002025568531300981,-0.0012465097726344077,11,44,0,False,0,1,978231.2500000012,12032.6,12033.45,12031.6,12031.65,0.0,12033.151122667608,12030.944647803952,12034.189688048931,72.62622754112735,1.4292688807381637,0.6136199168180642,0.8156489639200996,6.016116666666668,0.002148208481741735,2.2064748636566947,-0.00021103938983557669,-0.016204627044280606,12,29,0,True,0,1,978231.2500000012,EXECUTED_TRADE
9,BUY,BUY_MODERATE,2020-01-06 12:36:00,12035.4,12023.6,12025.4,12065.4,5,375,3750.0,0.38308060654429305,-4424.999999999727,-11.799999999999272,-0.0980441032288023,8,STOP_LOSS,"EMA8>EMA21, Price>EMA50, RSI=58.8, MACD_hist=0.13",0,2,978906.2500000016,12032.0,12035.55,12032.0,12035.4,0.0,12033.228638219283,12031.94866786664,12033.88378707322,58.847732687760086,1.1160825125243719,0.9897980224053298,0.12628449011904208,6.017158333333333,0.0007899942996307156,1.2799703526434314,0.00012599531070822678,0.02285448342633778,12,36,0,False,0,2,978906.2500000016,12024.15,12025.7,12022.95,12023.6,0.0,12027.617899268917,12029.741601274098,12032.33659887886,27.960230126911213,-1.2389254329045798,-0.09452587473187579,-1.144399558172704,6.012041666666667,0.0012230127158868562,-2.123702005181258,-0.0007260932909467499,-0.016631186801485676,12,44,0,True,0,2,978906.2500000016,EXECUTED_TRADE
10,SELL,SELL_MODERATE,2020-01-06 12:58:00,12013.8,12025.1,12023.8,11983.8,5,375,3750.0,0.3848201286581956,-4237.500000000409,-11.300000000001091,-0.09405849939237454,11,STOP_LOSS,"EMA8<EMA21, Price<EMA50, RSI=31.4, MACD_hist=-0.24",1,0,974481.2500000019,12013.65,12014.55,12012.2,12013.8,0.0,12014.112217701891,12018.595162382138,12024.97736912639,31.367151558470866,-4.472963402409732,-4.231483358894739,-0.24148004351499353,6.006758333333334,0.0021573100360353856,-4.482944680246874,-0.0009295126953908772,-0.006658565412087647,12,58,0,False,1,0,974481.2500000019,12023.4,12028.25,12023.4,12025.1,0.0,12020.489491159247,12019.39152742565,12023.011755554215,68.72968389979236,-0.2583169146964792,-1.755555985654352,1.4972390709578727,6.012791666666667,0.0014941618278498975,1.097963733596771,0.0001736872996751515,0.014970931441449231,13,9,0,True,1,0,974481.2500000019,EXECUTED_TRADE
11,BUY,BUY_MODERATE,2020-01-06 13:09:00,12025.1,12012.85,12015.1,12055.1,5,375,3750.0,0.38650081487255084,-4593.75,-12.25,-0.10187025471721647,9,STOP_LOSS,"EMA8>EMA21, Price>EMA50, RSI=68.7, MACD_hist=1.50",2,0,970243.7500000014,12023.4,12028.25,12023.4,12025.1,0.0,12020.489491159247,12019.39152742565,12023.011755554215,68.72968389979236,-0.2583169146964792,-1.755555985654352,1.4972390709578727,6.012791666666667,0.0014941618278498975,1.097963733596771,0.0001736872996751515,0.014970931441449231,13,9,0,False,2,0,970243.7500000014,12016.25,12016.85,12012.85,12012.85,0.0,12017.978148217066,12019.041753521238,12021.856350989048,44.70776140389154,-0.8132294101196749,-0.38928539031239456,-0.4239440198072803,6.007091666666668,0.0012227305356957538,-1.0636053041725972,-0.0007491647484464403,-0.031622790045471305,13,18,0,True,2,0,970243.7500000014,EXECUTED_TRADE
12,SELL,SELL_MODERATE,2020-01-06 13:18:00,12012.85,12024.7,12022.85,11982.85,4,300,3000.0,0.31067156837363386,-3555.000000000109,-11.850000000000364,-0.09864436832225795,23,STOP_LOSS,"EMA8<EMA21, Price<EMA50, RSI=44.7, MACD_hist=-0.42",3,0,965650.0000000014,12016.25,12016.85,12012.85,12012.85,0.0,12017.978148217066,12019.041753521238,12021.856350989048,44.70776140389154,-0.8132294101196749,-0.38928539031239456,-0.4239440198072803,6.007091666666668,0.0012227305356957538,-1.0636053041725972,-0.0007491647484464403,-0.031622790045471305,13,18,0,False,3,0,965650.0000000014,12022.8,12025.05,12022.5,12024.7,0.0,12019.714507954524,12017.89701800807,12018.873279081185,67.90255518245493,0.9524375253149628,-0.05864598864506329,1.011083513960026,6.012041666666667,0.0009372300863398454,1.8174899464538612,0.0004847975998680809,0.01746710362151571,13,41,0,True,3,0,965650.0000000014,EXECUTED_TRADE
