signal_id,timestamp,signal_action,signal_type,signal_price,status,skip_reason,consecutive_losses,win_streak,current_capital,has_open_position,feature_open,feature_high,feature_low,feature_close,feature_volume,feature_EMA_8,feature_EMA_21,feature_EMA_50,feature_RSI,feature_MACD,feature_MACD_signal,feature_MACD_hist,feature_ATR,feature_BB_width,feature_ema8_vs_ema21,feature_price_vs_ema50,feature_returns_1min,feature_hour,feature_minute,feature_day_of_week,feature_has_open_position,feature_consecutive_losses,feature_win_streak,feature_capital
27,,NO_SIGNAL,,0.0,NO_SIGNAL,,2,0,980237.5000000005,False,,,,,,,,,,,,,,,,,,,,,,,,
28,,NO_SIGNAL,,0.0,NO_SIGNAL,,2,0,980237.5000000005,False,,,,,,,,,,,,,,,,,,,,,,,,
29,,NO_SIGNAL,,0.0,NO_SIGNAL,,2,0,980237.5000000005,False,,,,,,,,,,,,,,,,,,,,,,,,
30,,NO_SIGNAL,,0.0,NO_SIGNAL,,2,0,980237.5000000005,False,,,,,,,,,,,,,,,,,,,,,,,,
31,,NO_SIGNAL,,0.0,NO_SIGNAL,,2,0,980237.5000000005,False,,,,,,,,,,,,,,,,,,,,,,,,
32,,NO_SIGNAL,,0.0,NO_SIGNAL,,2,0,980237.5000000005,False,,,,,,,,,,,,,,,,,,,,,,,,
33,,NO_SIGNAL,,0.0,NO_SIGNAL,,2,0,980237.5000000005,False,,,,,,,,,,,,,,,,,,,,,,,,
34,,NO_SIGNAL,,0.0,NO_SIGNAL,,2,0,980237.5000000005,False,,,,,,,,,,,,,,,,,,,,,,,,
35,,NO_SIGNAL,,0.0,NO_SIGNAL,,2,0,980237.5000000005,False,,,,,,,,,,,,,,,,,,,,,,,,
36,,NO_SIGNAL,,0.0,NO_SIGNAL,,2,0,980237.5000000005,False,,,,,,,,,,,,,,,,,,,,,,,,
37,,NO_SIGNAL,,0.0,NO_SIGNAL,,2,0,980237.5000000005,False,,,,,,,,,,,,,,,,,,,,,,,,
38,,NO_SIGNAL,,0.0,NO_SIGNAL,,2,0,980237.5000000005,False,,,,,,,,,,,,,,,,,,,,,,,,
