timestamp,open,high,low,close,volume,has_open_position,current_equity,feature_open,feature_high,feature_low,feature_close,feature_volume,feature_EMA_8,feature_EMA_21,feature_EMA_50,feature_RSI,feature_MACD,feature_MACD_signal,feature_MACD_hist,feature_ATR,feature_BB_width,feature_ema8_vs_ema21,feature_price_vs_ema50,feature_returns_1min,feature_hour,feature_minute,feature_day_of_week,feature_has_open_position,feature_consecutive_losses,feature_win_streak,feature_capital
2020-01-03 13:23:00,12230.6,12231.8,12228.7,12231.8,0.0,False,1000000.0,12230.6,12231.8,12228.7,12231.8,0.0,12231.595098621523,12232.14178918404,12230.828372017633,40.05144021709238,0.11742696435612743,0.8568920486937357,-0.7394650843376083,6.115383333333334,0.0009733410146781889,-0.5466905625162326,7.944089744471583e-05,0.012673494000514651,13,23,4,False,0,0,1000000.0
2020-01-03 13:24:00,12231.65,12231.8,12225.2,12225.9,0.0,False,1000000.0,12231.65,12231.8,12225.2,12225.9,0.0,12230.329521150074,12231.574353803673,12230.635102526745,25.549085078455263,-0.38215288080391474,0.6090830627942057,-0.9912359435981204,6.113816666666667,0.0010954225739024902,-1.2448326535995875,-0.0003871509931456796,-0.048234928628654306,13,24,4,False,0,0,1000000.0
2020-01-03 13:25:00,12225.85,12227.95,12225.2,12227.6,0.0,False,1000000.0,12225.85,12227.95,12225.2,12227.6,0.0,12229.722960894502,12231.21304891243,12230.516078898247,31.37891504263679,-0.6335940371991455,0.3605476427955354,-0.994141679994681,6.113458333333333,0.0011540619028422858,-1.4900880179284286,-0.00023842648007943446,0.013904906796224914,13,25,4,False,0,0,1000000.0
2020-01-03 13:26:00,12227.3,12230.5,12227.3,12230.25,0.0,True,1000000.0,12227.3,12230.5,12227.3,12230.25,0.0,12229.840080695725,12231.125499011301,12230.505644431649,38.8868030067376,-0.6119756379412138,0.16604298664818556,-0.7780186245893994,6.114675,0.0011208798484303372,-1.2854183155759529,-2.090219644890201e-05,0.021672282377571683,13,26,4,True,0,0,1000000.0
2020-01-03 13:27:00,12229.9,12229.9,12226.85,12227.85,0.0,True,1000000.0,12229.9,12229.9,12226.85,12227.85,0.0,12229.39784054112,12230.827726373911,12230.40150151276,35.385579584107035,-0.7795170557528763,-0.023069021832026804,-0.7564480339208495,6.1141,0.001167251839243932,-1.4298858327911148,-0.00020861960357099196,-0.01962347458146496,13,27,4,True,0,0,1000000.0
2020-01-03 13:28:00,12227.6,12228.45,12226.4,12227.8,0.0,True,1000000.0,12227.6,12228.45,12226.4,12227.8,0.0,12229.042764865315,12230.552478521737,12230.299481845594,33.331642597839235,-0.905886918075339,-0.19963260108068928,-0.7062543169946498,6.113774999999999,0.001210715200779863,-1.509713656421809,-0.0002043680000890502,-0.00040890262802406596,13,28,4,True,0,0,1000000.0
2020-01-03 13:29:00,12227.4,12228.55,12226.25,12228.4,0.0,True,1000000.0,12227.4,12228.55,12226.25,12228.4,0.0,12228.899928228579,12230.356798656125,12230.224992361453,36.29441436370126,-0.9467078994621261,-0.3490476607569767,-0.5976602387051494,6.113866666666666,0.0012147989698871838,-1.4568704275461641,-0.00014921985185001319,0.004906851600461337,13,29,4,True,0,0,1000000.0
2020-01-03 13:30:00,12227.95,12227.95,12224.35,12225.15,0.0,True,1000000.0,12227.95,12227.95,12224.35,12225.15,0.0,12228.06661084445,12229.88345332375,12230.02597305316,34.02612373009681,-1.2271607150833006,-0.5246702716222414,-0.7024904434610592,6.112908333333334,0.0012420743078549769,-1.8168424793002487,-0.00039868869157788644,-0.02657747538516997,13,30,4,True,0,0,1000000.0
2020-01-03 13:31:00,12225.1,12226.2,12224.15,12225.05,0.0,True,1000000.0,12225.1,12226.2,12224.15,12225.05,0.0,12227.396252879016,12229.444048476134,12229.830836854997,32.50722579094949,-1.4408811750145105,-0.7079124523006953,-0.7329687227138152,6.112566666666666,0.001253432433251192,-2.047795597118238,-0.0003909160248227739,-0.0008179858733914358,13,31,4,True,0,0,1000000.0
2020-01-03 13:32:00,12224.85,12225.7,12222.95,12225.45,0.0,True,1000000.0,12224.85,12225.7,12222.95,12225.45,0.0,12226.963752239235,12229.08095316012,12229.659039331273,40.5895634085122,-1.5599968496044312,-0.8783293317614426,-0.6816675178429886,6.112350000000001,0.0012387605508279692,-2.117200920885807,-0.000344166531359158,0.0032719702578010157,13,32,4,True,0,0,1000000.0
2020-01-03 13:33:00,12225.25,12227.85,12224.75,12227.3,0.0,True,1000000.0,12225.25,12227.85,12224.75,12227.3,0.0,12227.038473963848,12228.919048327381,12229.566527984947,43.114965143673324,-1.4879650066231989,-1.0002564667337939,-0.487708539889405,6.113316666666666,0.0011654918901931551,-1.8805743635330145,-0.00018533183328794944,0.015132367315717765,13,33,4,True,0,0,1000000.0
2020-01-03 13:34:00,12227.25,12230.0,12227.25,12229.5,0.0,True,1000000.0,12227.25,12230.0,12227.25,12229.5,0.0,12227.58547974966,12228.9718621158,12229.563919044362,51.707348479362025,-1.2390743603373267,-1.0480200454545003,-0.19105431488282631,6.114458333333333,0.0010226153471669145,-1.3863823661413335,-5.22660045643164e-06,0.017992524923737818,13,34,4,True,0,0,1000000.0
2020-01-03 13:35:00,12229.55,12230.4,12227.8,12229.45,0.0,True,1000000.0,12229.55,12230.4,12227.8,12229.45,0.0,12227.999817583068,12229.015329196183,12229.559451630857,47.60579790795659,-1.0339426646951324,-1.0452045693026268,0.011261904607494433,6.114608333333333,0.0008949601695298779,-1.01551161311545,-8.949760724408229e-06,-0.0004088474590102642,13,35,4,True,0,0,1000000.0
2020-01-03 13:36:00,12229.1,12230.7,12228.2,12230.05,0.0,True,1000000.0,12229.1,12230.7,12228.2,12230.05,0.0,12228.45541367572,12229.109390178348,12229.578688821804,49.567837125664695,-0.8135808784845722,-0.9988798311390159,0.18529895265444374,6.114825,0.0008017885858612034,-0.6539765026282112,3.8538627550988025e-05,0.0049061895669666455,13,36,4,True,0,0,1000000.0
2020-01-03 13:37:00,12229.8,12231.05,12228.85,12228.95,0.0,True,1000000.0,12229.8,12231.05,12228.85,12228.95,0.0,12228.565321747781,12229.094900162134,12229.554034358205,43.76099494998397,-0.7194104661721212,-0.942985958145637,0.22357549197351578,6.114808333333334,0.0006494232424818503,-0.5295784143527271,-4.939136427273283e-05,-0.008994239598358877,13,37,4,True,0,0,1000000.0
2020-01-03 13:38:00,12228.55,12230.75,12228.45,12230.75,0.0,True,1000000.0,12228.55,12230.75,12228.45,12230.75,0.0,12229.050805803829,12229.245363783759,12229.60093497161,62.92863466194747,-0.4938420751459489,-0.8531571815456994,0.3593151063997505,6.114991666666666,0.0006623837860133317,-0.1945579799303232,9.395768794906445e-05,0.014719170492960565,13,38,4,True,0,0,1000000.0
2020-01-03 13:39:00,12230.25,12230.7,12227.8,12230.15,0.0,True,1000000.0,12230.25,12230.7,12227.8,12230.15,0.0,12229.295071180755,12229.32760343978,12229.622466933508,57.21925739601274,-0.3593501212035335,-0.7543957694772663,0.3950456482737328,6.114775000000001,0.0006535887012780264,-0.032532259025174426,4.3135678792882715e-05,-0.004905668090671167,13,39,4,True,0,0,1000000.0
2020-01-03 13:40:00,12230.1,12230.45,12228.6,12229.4,0.0,True,1000000.0,12230.1,12230.45,12228.6,12229.4,0.0,12229.318388696143,12229.334184945254,12229.613742740037,47.297383089755634,-0.30971283397047955,-0.665459182375909,0.3557463484054294,6.114741666666668,0.0006565766479184114,-0.01579624911028077,-1.7477472676885597e-05,-0.006132385947843488,13,40,4,True,0,0,1000000.0
2020-01-03 13:41:00,12229.45,12230.35,12227.3,12230.0,0.0,True,1000000.0,12229.45,12230.35,12227.3,12230.0,0.0,12229.469857874778,12229.394713586595,12229.628890083566,57.70030247860359,-0.2194304826170992,-0.576253442424147,0.3568229598070478,6.114608333333334,0.0006484673590175471,0.07514428818285523,3.0345149453880893e-05,0.004906209625987756,13,41,4,True,0,0,1000000.0
2020-01-03 13:42:00,12229.0,12231.8,12229.0,12231.15,0.0,True,1000000.0,12229.0,12231.8,12229.0,12231.15,0.0,12229.843222791493,12229.554285078722,12229.688541452839,61.12388216378852,-0.054457922637084266,-0.47189433846673445,0.4174364158296502,6.115325,0.0006648659732430507,0.2889377127703483,0.00011950088035406203,0.009403107113659104,13,42,4,True,0,0,1000000.0
2020-01-03 13:43:00,12231.0,12231.2,12229.75,12230.8,0.0,True,1000000.0,12231.0,12231.2,12229.75,12230.8,0.0,12230.055839948938,12229.667531889747,12229.732128062533,58.10261191508928,0.047494458229266456,-0.3680165791275343,0.4155110373568008,6.115291666666667,0.0006413509742619743,0.38830805919133127,8.731768826031328e-05,-0.002861546134258486,13,43,4,True,0,0,1000000.0
2020-01-03 13:44:00,12230.45,12230.85,12224.1,12225.05,0.0,True,1000000.0,12230.45,12230.85,12224.1,12225.05,0.0,12228.943431071395,12229.247756263405,12229.548515197335,49.70696013039298,-0.33185902636978426,-0.36078506857598436,0.028926042206200098,6.113333333333333,0.0006637355853783643,-0.3043251920098555,-0.0003678398423085927,-0.04701246034600759,13,44,4,True,0,0,1000000.0
2020-01-03 13:45:00,12224.9,12225.2,12221.65,12222.45,0.0,True,1000000.0,12224.9,12225.2,12221.65,12222.45,0.0,12227.500446388864,12228.629778421277,12229.270142052343,43.431272536287544,-0.8326988330918539,-0.4551678214791583,-0.3775310116126956,6.11155,0.0007968419509879462,-1.1293320324130036,-0.0005576900316307531,-0.021267806675628886,13,45,4,True,0,0,1000000.0
