trade_id,timestamp,action,strategy,status,exit_price,pnl
74,2022-01-06 14:15:00+05:30,SELL,trend_following,CLOSED,17777.45,-798.7499999998363
75,2022-01-06 14:30:00+05:30,SELL,trend_following,CLOSED,17770.9,750.0
76,2022-01-11 14:30:00+05:30,BUY,trend_following,CLOSED,18033.45,750.0
77,2022-01-13 10:30:00+05:30,BUY,trend_following,CLOSED,18200.7,750.0
78,2022-01-13 13:15:00+05:30,BUY,trend_following,CLOSED,18205.65,750.0
79,2022-01-27 14:00:00+05:30,SELL,trend_following,CLOSED,17108.249401730973,-3607.455129822847
80,2022-01-27 14:15:00+05:30,SELL,trend_following,CLOSED,17145.0,-52.50000000005457
81,2022-01-28 14:00:00+05:30,BUY,trend_following,CLOSED,17148.2,-1334.9999999999454
82,2022-02-03 10:00:00+05:30,BUY,trend_following,CLOSED,17659.19886188593,-3825.085358555407
83,2022-02-08 12:30:00+05:30,SELL,trend_following,CLOSED,17248.1,750.0
84,2022-02-22 14:00:00+05:30,SELL,trend_following,CLOSED,17097.575088194546,-3003.7632291820046
85,2022-02-22 14:15:00+05:30,SELL,trend_following,CLOSED,17129.95,-1297.4999999999454
86,2022-02-23 14:15:00+05:30,BUY,trend_following,CLOSED,17134.15,750.0
87,2022-02-23 14:30:00+05:30,BUY,trend_following,CLOSED,17126.2,750.0
88,2022-03-02 15:00:00+05:30,SELL,trend_following,CLOSED,16628.182401457092,-3064.8602185638083
89,2022-03-02 15:15:00+05:30,SELL,trend_following,CLOSED,16639.15,-2490.0000000000546
90,2022-03-15 12:30:00+05:30,BUY,trend_following,CLOSED,16753.9,-3667.4999999995634
91,2022-03-22 12:30:00+05:30,SELL,trend_following,CLOSED,17175.15,-2666.2500000002183
92,2022-03-22 12:45:00+05:30,SELL,trend_following,CLOSED,17167.75,-502.4999999997817
93,2022-03-25 15:15:00+05:30,SELL,trend_following,CLOSED,17143.0,750.0
94,2022-03-25 15:30:00+05:30,SELL,trend_following,CLOSED,17143.0,750.0
95,2022-03-31 13:15:00+05:30,BUY,trend_following,CLOSED,17450.52332947999,-2345.7502890006253
96,2022-03-31 13:30:00+05:30,BUY,trend_following,CLOSED,17451.843983225874,-2426.701258059529
97,2022-04-08 11:45:00+05:30,SELL,trend_following,CLOSED,17729.85,-3588.749999999891
98,2022-04-08 12:00:00+05:30,SELL,trend_following,CLOSED,17723.6,-2077.4999999997817
99,2022-04-12 14:00:00+05:30,SELL,trend_following,CLOSED,17543.75,750.0
100,2022-04-12 14:15:00+05:30,SELL,trend_following,CLOSED,17563.9,750.0
101,2022-04-27 14:00:00+05:30,SELL,trend_following,CLOSED,17051.85,750.0
102,2022-04-27 14:30:00+05:30,SELL,trend_following,CLOSED,17070.15,1500.0
103,2022-04-27 14:45:00+05:30,SELL,trend_following,CLOSED,17069.5,1500.0
104,2022-05-02 14:45:00+05:30,SELL,trend_following,CLOSED,16633.109999999997,31986.75000000012
105,2022-05-02 15:00:00+05:30,SELL,trend_following,CLOSED,16642.61625,32005.031249999956
106,2022-05-11 14:30:00+05:30,SELL,trend_following,CLOSED,15810.892499999998,91216.68750000026
107,2022-05-11 14:45:00+05:30,SELL,trend_following,CLOSED,15788.61375,30362.718750000022
108,2022-05-18 12:15:00+05:30,BUY,trend_following,CLOSED,16258.4,750.0
109,2022-05-18 12:30:00+05:30,BUY,trend_following,CLOSED,16242.6,750.0
110,2022-05-23 14:00:00+05:30,BUY,trend_following,CLOSED,16207.25,-4162.5
111,2022-05-23 14:15:00+05:30,BUY,trend_following,CLOSED,16207.25,-4586.249999999973
112,2022-05-26 13:00:00+05:30,SELL,trend_following,CLOSED,16129.9,-5362.5
