trade_id,timestamp,action,strategy,status,exit_price,pnl
1,2020-01-14 13:45:00+05:30,BUY,trend_following,CLOSED,12334.45,750.0
2,2020-01-15 14:15:00+05:30,SELL,trend_following,CLOSED,12315.5,-202.50000000005457
3,2020-01-15 14:30:00+05:30,SELL,trend_following,CLOSED,12318.3,-704.9999999999727
4,2020-02-10 15:00:00+05:30,SELL,trend_following,CLOSED,12046.28608823594,-568.9566176954486
5,2020-02-10 15:15:00+05:30,SELL,trend_following,CLOSED,12045.706241638452,-1065.4681228839308
6,2020-02-13 14:30:00+05:30,SELL,trend_following,CLOSED,12177.8,-1162.5
7,2020-02-13 15:00:00+05:30,SELL,trend_following,CLOSED,12176.3,-116.24999999994543
8,2020-02-18 15:00:00+05:30,SELL,trend_following,CLOSED,12002.413517762932,-113.51383221995093
9,2020-02-20 14:30:00+05:30,BUY,trend_following,CLOSED,12101.914312194354,-257.6765854234509
10,2020-08-21 14:45:00+05:30,BUY,trend_following,CLOSED,11375.65,-686.2499999999727
11,2020-12-31 14:15:00+05:30,BUY,trend_following,OPEN,,
