trade_id,timestamp,action,price,strategy,lots,status,exit_price,exit_time,exit_reason,pnl
559,2024-07-03 14:45:00+05:30,BUY,24248.15,trend_following,4,CLOSED,24258.15,2024-07-05 09:45:00+05:30,STOP_LOSS,3000.0
560,2024-07-04 13:45:00+05:30,BUY,24326.15,trend_following,4,CLOSED,24336.15,2024-07-04 14:15:00+05:30,STOP_LOSS,3000.0
561,2024-07-04 14:45:00+05:30,BUY,24300.9,trend_following,5,CLOSED,24290.684708370914,2024-07-05 09:45:00+05:30,STOP_LOSS,-3830.734360907627
562,2024-07-05 11:30:00+05:30,SELL,24277.15,trend_following,1,CLOSED,24267.15,2024-07-05 15:00:00+05:30,STOP_LOSS,750.0
563,2024-07-05 11:45:00+05:30,SELL,24276.95,trend_following,1,CLOSED,24266.95,2024-07-05 15:00:00+05:30,STOP_LOSS,750.0
564,2024-07-05 15:00:00+05:30,SELL,24342.05,trend_following,5,CLOSED,24332.05,2024-07-09 09:45:00+05:30,STOP_LOSS,3750.0
565,2024-07-08 09:45:00+05:30,BUY,24274.35,trend_following,2,CLOSED,24284.35,2024-07-08 11:00:00+05:30,STOP_LOSS,1500.0
566,2024-07-08 11:00:00+05:30,BUY,24270.05,trend_following,2,CLOSED,24280.05,2024-07-08 11:30:00+05:30,STOP_LOSS,1500.0
567,2024-07-08 11:30:00+05:30,BUY,24270.9,trend_following,2,CLOSED,24280.9,2024-07-08 12:00:00+05:30,STOP_LOSS,1500.0
568,2024-07-08 13:30:00+05:30,BUY,24283.5,trend_following,4,CLOSED,24293.5,2024-07-08 14:00:00+05:30,STOP_LOSS,3000.0
569,2024-07-10 09:45:00+05:30,SELL,24369.15,breakout,2,CLOSED,24231.300000000003,2024-07-10 10:30:00+05:30,TAKE_PROFIT,20677.49999999978
570,2024-07-10 14:30:00+05:30,SELL,24304.1,trend_following,2,CLOSED,24294.1,2024-07-10 15:00:00+05:30,STOP_LOSS,1500.0
571,2024-07-10 14:45:00+05:30,SELL,24294.0,trend_following,2,CLOSED,24284.0,2024-07-11 12:30:00+05:30,STOP_LOSS,1500.0
572,2024-07-10 15:00:00+05:30,SELL,24330.85,trend_following,5,CLOSED,24320.85,2024-07-11 09:45:00+05:30,STOP_LOSS,3750.0
573,2024-07-16 13:30:00+05:30,BUY,24622.35,trend_following,4,CLOSED,24632.35,2024-07-18 10:45:00+05:30,STOP_LOSS,3000.0
574,2024-07-16 13:45:00+05:30,BUY,24621.4,trend_following,4,CLOSED,24631.4,2024-07-18 10:45:00+05:30,STOP_LOSS,3000.0
575,2024-07-18 12:00:00+05:30,SELL,24607.8,trend_following,2,CLOSED,24678.35,2024-07-18 13:00:00+05:30,STOP_LOSS,-10582.49999999989
576,2024-07-18 12:15:00+05:30,SELL,24615.3,trend_following,2,CLOSED,24678.35,2024-07-18 13:00:00+05:30,STOP_LOSS,-9457.49999999989
577,2024-07-23 11:00:00+05:30,SELL,24542.55,trend_following,4,CLOSED,24532.55,2024-07-26 09:45:00+05:30,STOP_LOSS,3000.0
578,2024-07-24 14:30:00+05:30,SELL,24433.4,trend_following,2,CLOSED,24423.4,2024-07-24 15:15:00+05:30,STOP_LOSS,1500.0
579,2024-07-25 11:45:00+05:30,SELL,24358.2,trend_following,1,CLOSED,24453.95,2024-07-26 09:45:00+05:30,STOP_LOSS,-7181.25
580,2024-07-29 13:00:00+05:30,BUY,24833.05,trend_following,1,CLOSED,24843.05,2024-07-29 13:45:00+05:30,STOP_LOSS,750.0
581,2024-07-29 13:45:00+05:30,BUY,24825.75,trend_following,2,CLOSED,24835.75,2024-07-29 15:00:00+05:30,STOP_LOSS,1500.0
582,2024-07-30 13:15:00+05:30,BUY,24889.3,trend_following,2,CLOSED,24899.3,2024-07-30 15:00:00+05:30,STOP_LOSS,1500.0
583,2024-07-30 14:45:00+05:30,BUY,24913.7,trend_following,2,CLOSED,24923.7,2024-07-31 11:00:00+05:30,STOP_LOSS,1500.0
584,2024-07-30 15:00:00+05:30,BUY,24847.5,trend_following,5,OPEN,,,,
585,2024-07-31 11:15:00+05:30,BUY,24901.75,trend_following,2,OPEN,,,,
