trade_id,timestamp,action,price,strategy,lots,status,exit_price,exit_time,exit_reason,pnl
590,2024-09-03 15:15:00+05:30,BUY,25268.85,trend_following,5,CLOSED,25236.45,2024-09-04 09:45:00+05:30,STOP_LOSS,-12149.999999999181
591,2024-09-03 15:30:00+05:30,BUY,25268.85,trend_following,5,CLOSED,25236.45,2024-09-04 09:45:00+05:30,STOP_LOSS,-12149.999999999181
592,2024-09-05 14:30:00+05:30,SELL,25139.7,breakout,2,CLOSED,25000.125,2024-09-06 09:45:00+05:30,TAKE_PROFIT,20936.25000000011
593,2024-09-09 10:30:00+05:30,SELL,24888.85,trend_following,2,CLOSED,24878.85,2024-09-09 11:45:00+05:30,STOP_LOSS,1500.0
594,2024-09-09 10:45:00+05:30,SELL,24883.85,trend_following,2,CLOSED,24873.85,2024-09-09 11:30:00+05:30,STOP_LOSS,1500.0
595,2024-09-09 11:30:00+05:30,SELL,24877.65,trend_following,2,CLOSED,24867.65,2024-09-09 13:00:00+05:30,STOP_LOSS,1500.0
596,2024-09-09 11:45:00+05:30,SELL,24879.4,trend_following,2,CLOSED,24869.4,2024-09-09 13:00:00+05:30,STOP_LOSS,1500.0
597,2024-09-09 13:00:00+05:30,SELL,24882.15,trend_following,4,CLOSED,24929.8092765473,2024-09-10 10:15:00+05:30,STOP_LOSS,-14297.7829641899
598,2024-09-11 09:45:00+05:30,BUY,25036.0,trend_following,4,CLOSED,25046.0,2024-09-11 13:30:00+05:30,STOP_LOSS,3000.0
599,2024-09-11 12:45:00+05:30,BUY,25055.75,trend_following,2,CLOSED,24981.8,2024-09-11 14:00:00+05:30,STOP_LOSS,-11092.50000000011
600,2024-09-12 10:00:00+05:30,SELL,25017.2,trend_following,1,CLOSED,25007.2,2024-09-12 10:45:00+05:30,STOP_LOSS,750.0
601,2024-09-12 10:15:00+05:30,SELL,25015.55,trend_following,1,CLOSED,25005.55,2024-09-12 10:45:00+05:30,STOP_LOSS,750.0
602,2024-09-12 11:00:00+05:30,SELL,25008.3,trend_following,2,CLOSED,24998.3,2024-09-12 11:30:00+05:30,STOP_LOSS,1500.0
603,2024-09-12 11:30:00+05:30,SELL,25013.55,trend_following,3,CLOSED,25003.55,2024-09-12 12:00:00+05:30,STOP_LOSS,2250.0
604,2024-09-12 12:00:00+05:30,SELL,25011.2,trend_following,3,CLOSED,25072.3,2024-09-13 09:45:00+05:30,STOP_LOSS,-13747.499999999673
605,2024-09-16 11:30:00+05:30,BUY,25366.35,trend_following,3,CLOSED,25376.35,2024-09-17 09:45:00+05:30,STOP_LOSS,2250.0
606,2024-09-16 11:45:00+05:30,BUY,25356.9,trend_following,4,CLOSED,25366.9,2024-09-17 09:45:00+05:30,STOP_LOSS,3000.0
607,2024-09-18 10:00:00+05:30,BUY,25413.9,trend_following,5,CLOSED,25423.9,2024-09-18 13:00:00+05:30,STOP_LOSS,3750.0
608,2024-09-18 12:45:00+05:30,BUY,25427.05,trend_following,4,CLOSED,25381.65,2024-09-18 13:00:00+05:30,STOP_LOSS,-13619.999999999345
609,2024-09-18 13:00:00+05:30,BUY,25374.4,trend_following,5,CLOSED,26008.76,2024-09-25 15:00:00+05:30,TAKE_PROFIT,237884.99999999886
610,2024-09-24 11:30:00+05:30,BUY,25922.4,trend_following,2,CLOSED,25932.4,2024-09-25 10:00:00+05:30,STOP_LOSS,1500.0
611,2024-09-27 13:00:00+05:30,BUY,26189.85,trend_following,4,CLOSED,26199.85,2024-09-27 14:00:00+05:30,STOP_LOSS,3000.0
612,2024-09-27 13:15:00+05:30,BUY,26179.7,trend_following,5,CLOSED,26189.7,2024-09-27 14:00:00+05:30,STOP_LOSS,3750.0
613,2024-09-27 14:00:00+05:30,BUY,26186.8,trend_following,5,CLOSED,26142.87333085054,2024-09-30 09:45:00+05:30,STOP_LOSS,-16472.500931047307
614,2024-09-27 14:15:00+05:30,BUY,26191.4,trend_following,5,CLOSED,26144.77633748385,2024-09-30 09:45:00+05:30,STOP_LOSS,-17483.873443556604
