trade_id,timestamp,action,price,strategy,lots,status,exit_price,exit_time,exit_reason,pnl
532,2024-05-02 14:15:00+05:30,BUY,22650.75,trend_following,5,CLOSED,22660.75,2024-05-02 15:00:00+05:30,STOP_LOSS,3750.0
533,2024-05-02 15:00:00+05:30,BUY,22641.65,trend_following,5,CLOSED,22651.65,2024-05-03 10:15:00+05:30,STOP_LOSS,3750.0
534,2024-05-03 10:15:00+05:30,BUY,22642.0,trend_following,4,CLOSED,22611.85,2024-05-03 10:45:00+05:30,STOP_LOSS,-9045.000000000437
535,2024-05-06 10:15:00+05:30,SELL,22495.75,trend_following,1,CLOSED,21933.35625,2024-05-13 09:45:00+05:30,TAKE_PROFIT,42179.53124999994
536,2024-05-06 10:30:00+05:30,SELL,22511.35,trend_following,1,CLOSED,22501.35,2024-05-06 11:45:00+05:30,STOP_LOSS,750.0
537,2024-05-08 11:30:00+05:30,SELL,22278.15,trend_following,2,CLOSED,22331.807880692875,2024-05-08 12:45:00+05:30,STOP_LOSS,-8048.68210393106
538,2024-05-10 09:45:00+05:30,SELL,22108.75,trend_following,1,CLOSED,22098.75,2024-05-13 13:45:00+05:30,STOP_LOSS,750.0
539,2024-05-13 12:00:00+05:30,SELL,21985.4,trend_following,1,CLOSED,21975.4,2024-05-13 13:30:00+05:30,STOP_LOSS,750.0
540,2024-05-15 10:00:00+05:30,BUY,22189.6,trend_following,5,CLOSED,22199.6,2024-05-15 11:15:00+05:30,STOP_LOSS,3750.0
541,2024-05-15 10:15:00+05:30,BUY,22168.85,trend_following,5,CLOSED,22178.85,2024-05-15 11:15:00+05:30,STOP_LOSS,3750.0
542,2024-05-21 10:30:00+05:30,BUY,22458.05,trend_following,3,CLOSED,23019.501249999998,2024-05-27 11:45:00+05:30,TAKE_PROFIT,126326.5312499996
543,2024-05-21 14:45:00+05:30,BUY,22516.25,trend_following,2,CLOSED,23079.156249999996,2024-05-27 12:15:00+05:30,TAKE_PROFIT,84435.93749999945
544,2024-05-30 15:15:00+05:30,SELL,22557.1,trend_following,1,CLOSED,22547.1,2024-05-31 11:30:00+05:30,STOP_LOSS,750.0
545,2024-05-30 15:30:00+05:30,SELL,22557.1,trend_following,1,CLOSED,22547.1,2024-05-31 11:30:00+05:30,STOP_LOSS,750.0
546,2024-05-31 11:30:00+05:30,SELL,22553.95,trend_following,1,CLOSED,22543.95,2024-05-31 12:45:00+05:30,STOP_LOSS,750.0
547,2024-05-31 13:30:00+05:30,SELL,22570.4,trend_following,1,OPEN,,,,
548,2024-05-31 15:15:00+05:30,SELL,22550.45,trend_following,1,OPEN,,,,
