equity,drawdown
100000.0,0.0
100750.0,0.0
100547.49999999994,0.0
99842.49999999997,0.0
99273.54338230452,0.0
98208.07525942058,0.0
97045.57525942058,0.0
96929.32525942064,0.0
96815.8114272007,0.0
96558.13484177724,0.0
95871.88484177727,0.0
96621.88484177727,0.0
122801.38484177724,0.0
121766.3848417773,0.0
120866.3848417773,0.0
121616.3848417773,0.0
120933.88484177727,0.0
121683.88484177727,0.0
121533.31998795894,0.0
122283.31998795894,0.0
122200.81998795891,0.0
150875.85123795876,0.0
151625.85123795876,0.0
152375.85123795876,0.0
150902.1012379588,0.0
151652.1012379588,0.0
152402.1012379588,0.0
150878.7249743378,0.0
151628.7249743378,0.0
152378.7249743378,0.0
150972.4749743378,0.0
149525.95337933913,0.0
148871.15812139923,0.0
149621.15812139923,0.0
150371.15812139923,0.0
149774.90812139917,0.0
179487.75187139912,0.0
180237.75187139912,0.0
180987.75187139912,0.0
181737.75187139912,0.0
182487.75187139912,0.0
181685.25187139906,0.0
182435.25187139906,0.0
183185.25187139906,0.0
183935.25187139906,0.0
184685.25187139906,0.0
182622.75187139906,0.0
183372.75187139906,0.0
182814.0018713993,0.0
183564.0018713993,0.0
184314.0018713993,0.0
184107.7518713993,0.0
184857.7518713993,0.0
218245.31437139926,0.0
251636.4393713993,0.0
250222.68937139912,0.0
250972.68937139912,0.0
251722.68937139912,0.0
249097.68937139912,0.0
246236.439371399,0.0
279972.5643713989,0.0
278536.31437139877,0.0
276507.2681178686,0.0
274737.9393644766,0.0
275487.9393644766,0.0
276237.9393644766,0.0
274112.7208721797,0.0
306652.40837217966,0.0
338059.40837217955,0.0
338809.40837217955,0.0
340309.40837217955,0.0
341059.40837217955,0.0
336559.40837217955,0.0
401152.4083721794,0.0
400353.65837217955,0.0
401103.65837217955,0.0
401853.65837217955,0.0
402603.65837217955,0.0
403353.65837217955,0.0
399746.2032423567,0.0
399693.70324235666,0.0
398358.7032423567,0.0
394533.6178838013,0.0
395283.6178838013,0.0
392279.8546546193,0.0
390982.35465461935,0.0
391732.35465461935,0.0
392482.35465461935,0.0
389417.49443605554,0.0
386927.4944360555,0.0
383259.9944360559,0.0
380593.74443605565,0.0
380091.2444360559,0.0
380841.2444360559,0.0
381591.2444360559,0.0
379245.49414705526,0.0
376818.7928889957,0.0
373230.04288899584,0.0
371152.5428889961,0.0
371902.5428889961,0.0
372652.5428889961,0.0
373402.5428889961,0.0
374902.5428889961,0.0
376402.5428889961,0.0
408389.2928889962,0.0
440394.32413899613,0.0
531611.0116389964,0.0
561973.7303889964,0.0
562723.7303889964,0.0
563473.7303889964,0.0
559311.2303889964,0.0
554724.9803889964,0.0
549362.4803889964,0.0
544041.2303889964,0.0
544791.2303889964,0.0
546291.2303889964,0.0
543339.9803889965,0.0
544089.9803889965,0.0
544839.9803889965,0.0
607014.2303889967,0.0
731444.4803889967,0.0
761089.9178889968,0.0
790740.2303889968,0.0
791490.2303889968,0.0
792990.2303889968,0.0
786161.4803889967,0.0
781556.4803889967,0.0
776257.7303889967,0.0
777007.7303889967,0.0
772552.223144742,0.0
768527.2504983013,0.0
769277.2504983013,0.0
770777.2504983013,0.0
765519.7504983015,0.0
766269.7504983015,0.0
758866.5395313272,0.0
751426.5395313269,0.0
755176.5395313269,0.0
751299.039531327,0.0
752799.039531327,0.0
754299.039531327,0.0
756549.039531327,0.0
759549.039531327,0.0
762549.039531327,0.0
766299.039531327,0.0
796810.0707813267,0.0
797560.0707813267,0.0
792553.8207813267,0.0
785091.3207813267,0.0
778663.8207813264,0.0
780163.8207813264,0.0
783163.8207813264,0.0
783913.8207813264,0.0
783820.0707813264,0.0
785320.0707813264,0.0
786820.0707813264,0.0
788320.0707813264,0.0
789070.0707813264,0.0
784693.8207813265,0.0
776931.3207813265,0.0
771088.8207813264,0.0
771838.8207813264,0.0
772588.8207813264,0.0
773338.8207813264,0.0
774088.8207813264,0.0
769795.0707813262,0.0
767072.5707813265,0.0
768572.5707813265,0.0
771572.5707813265,0.0
772322.5707813265,0.0
773072.5707813265,0.0
773822.5707813265,0.0
774572.5707813265,0.002009925558313233
776072.5707813265,0.00900744416873478
779822.5707813265,0.00900744416873478
774460.0707813265,0.00900744416873478
807575.3832813266,0.00900744416873478
873881.9457813267,0.00900744416873478
874631.9457813267,0.00900744416873478
875381.9457813267,0.00900744416873478
876881.9457813267,0.00900744416873478
879131.9457813267,0.00900744416873478
873065.4786234592,0.00900744416873478
864895.4965430025,0.00900744416873478
865645.4965430025,0.00900744416873478
866395.4965430025,0.00900744416873478
859702.54977375,0.00900744416873478
853848.5420934883,0.00900744416873478
856848.5420934883,0.00900744416873478
857598.5420934883,0.00900744416873478
861348.5420934883,0.00900744416873478
862098.5420934883,0.00900744416873478
894828.9170934882,0.00900744416873478
887321.4170934883,0.00900744416873478
878846.4170934883,0.00900744416873478
880346.4170934883,0.00900744416873478
881846.4170934883,0.00900744416873478
883346.4170934883,0.00900744416873478
880336.6100504278,0.00900744416873478
877786.6100504268,0.00900744416873478
870446.6495635973,0.00900744416873478
863509.8247821335,0.00900744416873478
865009.8247821335,0.00900744416873478
867259.8247821335,0.00900744416873478
858586.8785245826,0.00900744416873478
861586.8785245826,0.00900744416873478
863836.8785245826,0.00900744416873478
866086.8785245826,0.00900744416873478
857180.6285245826,0.00900744416873478
848675.6285245827,0.00900744416873478
850175.6285245827,0.00900744416873478
843961.0817678452,0.00900744416873478
846211.0817678452,0.00900744416873478
1017506.3942678446,0.00900744416873478
1006870.6604094558,0.00900744416873478
1008370.6604094558,0.00900744416873478
1010620.6604094558,0.00900744416873478
1011370.6604094558,0.00900744416873478
1010245.6604094558,0.00900744416873478
1012495.6604094558,0.00900744416873478
1013995.6604094558,0.00900744416873478
1017745.6604094558,0.00900744416873478
1021495.6604094558,0.00900744416873478
1022995.6604094558,0.00900744416873478
1024495.6604094558,0.00900744416873478
1028245.6604094558,0.00900744416873478
1031995.6604094558,0.00900744416873478
1022864.4104094564,0.00900744416873478
1024364.4104094564,0.00900744416873478
1028114.4104094564,0.00900744416873478
1029614.4104094564,0.00900744416873478
1023820.6604094564,0.00900744416873478
1018521.9104094565,0.00900744416873478
1010069.4104094561,0.00900744416873478
1002694.3315043772,0.00900744416873478
1004194.3315043772,0.00900744416873478
993694.3315043772,0.00900744416873478
982834.331504377,0.00900744416873478
986584.331504377,0.00900744416873478
990334.331504377,0.00900744416873478
994084.331504377,0.00900744416873478
994834.331504377,0.00900744416873478
995584.331504377,0.00900744416873478
997084.331504377,0.00900744416873478
997834.331504377,0.00900744416873478
998584.331504377,0.00900744416873478
1002334.331504377,0.00900744416873478
1006084.331504377,0.00900744416873478
996884.7857109008,0.00900744416873478
988538.5174785405,0.00900744416873478
990038.5174785405,0.00900744416873478
993038.5174785405,0.00900744416873478
993788.5174785405,0.00900744416873478
994538.5174785405,0.00900744416873478
989427.2674785407,0.00900744416873478
993177.2674785407,0.00900744416873478
994677.2674785407,0.00900744416873478
985384.7674785405,0.00900744416873478
976823.5174785398,0.00900744416873478
978323.5174785398,0.00900744416873478
980573.5174785398,0.00900744416873478
