trade_id,strategy,action,entry_price,exit_price,pnl,pnl_points,pnl_percent,duration_minutes,exit_reason,risk_pct,risk_reward,market_regime,volatility_regime,confidence,entry_data,exit_data
721,trend_following,BUY,23297.3,23879.7325,218412.18749999962,582.432499999999,2.4999999999999956,6990.0,TAKE_PROFIT,0.49259241206434334,2.5,TRENDING,LOW,0.8,"{'price': 23297.3, 'rsi': 37.38004026632009, 'macd': 19.80603045324824, 'atr_pct': 0.13274070385838277, 'bb_position': 0.10108657067330577, 'ema_distance': 0.04197089696526754, 'trend_strength': 0.811923256929593, 'hour': 13, 'day_of_week': 2}","{'price': 24031.55, 'rsi': 99.99927761099765, 'macd': 48.80745332850711, 'atr_pct': 0.13409455486642427, 'bb_position': 1.1639494624688778, 'ema_distance': 0.2064905219133313, 'trend_strength': 0.18449176924721392, 'hour': 9, 'day_of_week': 0}"
722,trend_following,BUY,23306.65,23889.31625,218499.8437499994,582.6662499999984,2.499999999999993,6975.0,TAKE_PROFIT,0.5415748223179645,2.5,TRENDING,LOW,0.8,"{'price': 23306.65, 'rsi': 40.06445890340648, 'macd': 16.280964184654295, 'atr_pct': 0.13313183760244718, 'bb_position': 0.22235293514787385, 'ema_distance': 0.02578751938854901, 'trend_strength': 0.8277733812535664, 'hour': 13, 'day_of_week': 2}","{'price': 24031.55, 'rsi': 99.99927761099765, 'macd': 48.80745332850711, 'atr_pct': 0.13409455486642427, 'bb_position': 1.1639494624688778, 'ema_distance': 0.2064905219133313, 'trend_strength': 0.18449176924721392, 'hour': 9, 'day_of_week': 0}"
723,trend_following,BUY,24175.9,24185.9,3750.0,10.0,0.04136350663263829,1200.0,STOP_LOSS,0.4907523983150644,2.5,TRENDING,LOW,0.8,"{'price': 24175.9, 'rsi': 30.255165275684902, 'macd': 14.073770236078417, 'atr_pct': 0.08885767585547118, 'bb_position': 0.24351630533683058, 'ema_distance': 0.021979187405525638, 'trend_strength': 0.5884217482252976, 'hour': 14, 'day_of_week': 1}","{'price': 24169.5, 'rsi': 48.6210169457402, 'macd': 17.487157149600534, 'atr_pct': 0.22713100631551442, 'bb_position': 0.36592453984794837, 'ema_distance': 0.0544473020673561, 'trend_strength': 0.4988604358616932, 'hour': 10, 'day_of_week': 2}"
724,trend_following,BUY,24171.55,24181.55,3750.0,10.0,0.041370950559645535,1185.0,STOP_LOSS,0.44231709421868914,2.5,TRENDING,LOW,0.8,"{'price': 24171.55, 'rsi': 40.8368751564017, 'macd': 12.010018078599387, 'atr_pct': 0.08627320725634674, 'bb_position': 0.17339014271628073, 'ema_distance': 0.014558282682049431, 'trend_strength': 0.617197407472349, 'hour': 14, 'day_of_week': 1}","{'price': 24169.5, 'rsi': 48.6210169457402, 'macd': 17.487157149600534, 'atr_pct': 0.22713100631551442, 'bb_position': 0.36592453984794837, 'ema_distance': 0.0544473020673561, 'trend_strength': 0.4988604358616932, 'hour': 10, 'day_of_week': 2}"
725,trend_following,BUY,24169.5,24179.5,3750.0,10.0,0.04137445954612218,2835.0,STOP_LOSS,0.29676586321392356,2.5,TRENDING,NORMAL,0.8,"{'price': 24169.5, 'rsi': 48.6210169457402, 'macd': 17.487157149600534, 'atr_pct': 0.22713100631551442, 'bb_position': 0.36592453984794837, 'ema_distance': 0.0544473020673561, 'trend_strength': 0.4988604358616932, 'hour': 10, 'day_of_week': 2}","{'price': 24080.3, 'rsi': 26.556867899708834, 'macd': -16.981957696767495, 'atr_pct': 0.18325590390722774, 'bb_position': -0.43479862926508617, 'ema_distance': 0.09330649247590497, 'trend_strength': 0.624705722148139, 'hour': 9, 'day_of_week': 4}"
726,trend_following,BUY,24152.45,24162.45,3750.0,10.0,0.04140366712279707,2820.0,STOP_LOSS,0.22667192842426978,2.5,TRENDING,NORMAL,0.8,"{'price': 24152.45, 'rsi': 47.1957942511717, 'macd': 11.343661766200967, 'atr_pct': 0.2424776190998648, 'bb_position': 0.3001544126019505, 'ema_distance': 0.020797091163300294, 'trend_strength': 0.47134823392886643, 'hour': 10, 'day_of_week': 2}","{'price': 24080.3, 'rsi': 26.556867899708834, 'macd': -16.981957696767495, 'atr_pct': 0.18325590390722774, 'bb_position': -0.43479862926508617, 'ema_distance': 0.09330649247590497, 'trend_strength': 0.624705722148139, 'hour': 9, 'day_of_week': 4}"
728,trend_following,BUY,24316.6,24326.6,3750.0,10.0,0.0411241703198638,180.0,STOP_LOSS,0.38793967404386487,2.5,NEUTRAL,NORMAL,0.8,"{'price': 24316.6, 'rsi': 49.178741295735016, 'macd': 19.889825839731202, 'atr_pct': 0.22142428276509396, 'bb_position': 0.3670880639535452, 'ema_distance': 0.043626954940357274, 'trend_strength': 0.2585363154859825, 'hour': 12, 'day_of_week': 1}","{'price': 24326.45, 'rsi': 42.88592496668372, 'macd': 10.852230529548251, 'atr_pct': 0.10576377329438212, 'bb_position': 0.2879722022922745, 'ema_distance': 0.02139085402980232, 'trend_strength': 0.37719563546472634, 'hour': 15, 'day_of_week': 1}"
729,trend_following,BUY,24326.45,24336.45,3750.0,10.0,0.04110751877072076,1155.0,STOP_LOSS,0.1759433476124266,2.5,TRENDING,LOW,0.8,"{'price': 24326.45, 'rsi': 42.88592496668372, 'macd': 10.852230529548251, 'atr_pct': 0.10576377329438212, 'bb_position': 0.2879722022922745, 'ema_distance': 0.02139085402980232, 'trend_strength': 0.37719563546472634, 'hour': 15, 'day_of_week': 1}","{'price': 24330.85, 'rsi': 39.28755324056859, 'macd': 5.722292235073837, 'atr_pct': 0.12597176013168532, 'bb_position': 0.3199484703422775, 'ema_distance': 0.009534336979055678, 'trend_strength': 0.686700821620173, 'hour': 10, 'day_of_week': 2}"
727,trend_following,BUY,24313.25,24323.25,3750.0,10.0,0.041129836611724056,1365.0,STOP_LOSS,0.36460757515613684,2.5,NEUTRAL,NORMAL,0.8,"{'price': 24313.25, 'rsi': 49.433400421000805, 'macd': 23.204204694749933, 'atr_pct': 0.22384913575930732, 'bb_position': 0.3294485114364427, 'ema_distance': 0.058505966273533154, 'trend_strength': 0.29818570390431753, 'hour': 11, 'day_of_week': 1}","{'price': 24321.2, 'rsi': 39.894586820632924, 'macd': 3.585820130938373, 'atr_pct': 0.1324828897070394, 'bb_position': 0.1737603602629072, 'ema_distance': 0.0009629902932530912, 'trend_strength': 0.731606084183387, 'hour': 10, 'day_of_week': 2}"
730,trend_following,BUY,24330.85,24340.85,3750.0,10.0,0.04110008487167526,45.0,STOP_LOSS,0.4315650365260872,2.5,TRENDING,LOW,0.8,"{'price': 24330.85, 'rsi': 39.28755324056859, 'macd': 5.722292235073837, 'atr_pct': 0.12597176013168532, 'bb_position': 0.3199484703422775, 'ema_distance': 0.009534336979055678, 'trend_strength': 0.686700821620173, 'hour': 10, 'day_of_week': 2}","{'price': 24329.95, 'rsi': 40.06043023411186, 'macd': 2.439196602215816, 'atr_pct': 0.13697109940628605, 'bb_position': 0.2646389455891472, 'ema_distance': 0.0036650611134338676, 'trend_strength': 0.825553895714828, 'hour': 11, 'day_of_week': 2}"
732,trend_following,BUY,24333.8,24343.8,3750.0,10.0,0.04109510228570959,60.0,STOP_LOSS,0.4514546489248246,2.5,TRENDING,LOW,0.8,"{'price': 24333.8, 'rsi': 44.86329274206918, 'macd': 2.4754240630536515, 'atr_pct': 0.11449389033243355, 'bb_position': 0.41129437303400773, 'ema_distance': 0.004608782944195076, 'trend_strength': 0.8610924728547511, 'hour': 13, 'day_of_week': 2}","{'price': 24340.65, 'rsi': 59.058382098417745, 'macd': 2.2954145414187224, 'atr_pct': 0.09097068953728171, 'bb_position': 0.4974893409890017, 'ema_distance': 0.005466457952365237, 'trend_strength': 0.7061772398415777, 'hour': 14, 'day_of_week': 2}"
731,trend_following,BUY,24340.2,24350.2,3750.0,10.0,0.041084296760092356,135.0,STOP_LOSS,0.4959055682035867,2.5,TRENDING,LOW,0.8,"{'price': 24340.2, 'rsi': 55.01038154183024, 'macd': 3.3986814225609123, 'atr_pct': 0.12477887844565001, 'bb_position': 0.5179396313989023, 'ema_distance': 0.009585385569871253, 'trend_strength': 0.8864966655990562, 'hour': 12, 'day_of_week': 2}","{'price': 24348.85, 'rsi': 56.5434625476662, 'macd': 3.526777715454955, 'atr_pct': 0.09705650516201889, 'bb_position': 0.6908077365500239, 'ema_distance': 0.013346645298121358, 'trend_strength': 0.49033633827002565, 'hour': 15, 'day_of_week': 2}"
733,trend_following,BUY,24340.65,24350.65,3750.0,10.0,0.04108353721038674,60.0,STOP_LOSS,0.4986846642192109,2.5,TRENDING,LOW,0.8,"{'price': 24340.65, 'rsi': 59.058382098417745, 'macd': 2.2954145414187224, 'atr_pct': 0.09097068953728171, 'bb_position': 0.4974893409890017, 'ema_distance': 0.005466457952365237, 'trend_strength': 0.7061772398415777, 'hour': 14, 'day_of_week': 2}","{'price': 24348.85, 'rsi': 56.5434625476662, 'macd': 3.526777715454955, 'atr_pct': 0.09705650516201889, 'bb_position': 0.6908077365500239, 'ema_distance': 0.013346645298121358, 'trend_strength': 0.49033633827002565, 'hour': 15, 'day_of_week': 2}"
