timestamp,year,month,day,hour,minute,day_of_week,action,price,stop,target,rr,setup,regime,close,atr_pct,rsi,adx,macd,macd_hist,bb_position,bb_width,mom10,mom20,dist_ema9,dist_ema21,dist_ema50,trend_up,trend_down,drawdown_pct,daily_trades,portfolio_heat,win_streak,loss_streak,recent_win_rate,technical_score,sentiment_score,ml_score,final_score,disaster_flag,executed,trade_won,pnl,exit_reason,signal_id
2015-01-07 12:45:00+05:30,2015,1,7,12,45,2,SELL,8112.7,8154.466428571428,7987.400714285715,3.0,trend_bounce_sell,STRONG_DOWNTREND,8112.7,0.2860154008970058,49.67822293899658,43.9036952489466,-56.24036100343983,-3.2016752229415957,0.4114410763653327,0.011370706484770999,-0.3200737213945648,-0.7292928551325906,0.05173109763478845,-0.2277383258540322,-0.9679419895103791,0,1,0.0,0,0.0,0,0,0.5,76.34221714936795,0.33333333333333326,20.0,96.67555048270128,False,True,False,-3132.4821428571113,STOP_HIT,0
2015-01-09 11:15:00+05:30,2015,1,9,11,15,4,BUY,8264.75,8235.037142857143,8353.88857142857,3.0,trend_pullback_buy,STRONG_UPTREND,8264.75,0.1997294879717203,65.33265580949538,65.40404227379712,24.183701819092676,13.188619172474118,0.614564429223942,0.01622326092699744,0.4149150730201834,0.7478606431479573,-0.09478072404898175,0.17477023926901758,0.5419529309833804,1,0,3.132482142857116,0,0.0,0,1,0.0,70.0,0.33333333333333326,20.0,90.33333333333333,False,True,False,-2228.4642857142444,STOP_HIT,1
2015-01-09 15:00:00+05:30,2015,1,9,15,0,4,BUY,8285.85,8235.85,8435.85,3.0,trend_pullback_buy,STRONG_UPTREND,8285.85,0.36917498765106666,56.86458134877519,28.825443732019036,15.175003273478069,0.1291451674296784,0.8265545780027863,0.012294202655639073,0.874726077428778,0.05192264733051566,0.38942660306056087,0.46242689355466826,0.6635138887255199,1,0,5.360946428571363,1,0.0,0,2,0.0,48.58671791350821,0.33333333333333326,20.0,68.92005124684155,False,True,True,2625.0,STOP_HIT,2
2015-01-09 15:30:00+05:30,2015,1,9,15,30,4,BUY,8280.25,8235.006176518496,8415.98147044451,3.0,trend_pullback_buy,STRONG_UPTREND,8280.25,0.31529413794442335,65.53142689362927,28.45537670873183,16.68993696773032,1.393693267636495,0.7858554056117301,0.011914316027124498,0.4171795509256171,-0.013282858471141967,0.20557213049665624,0.32583413407683004,0.5494084948049371,1,0,5.360946428571363,2,0.0396242339550627,0,2,0.0,56.01015870160405,0.33333333333333326,20.0,76.34349203493738,False,True,,,,3
2015-01-14 12:00:00+05:30,2015,1,14,12,0,2,SELL,8274.9,8301.135,8196.194999999998,3.0,trend_bounce_sell,STRONG_DOWNTREND,8274.9,0.1761350590339454,30.83277992446267,36.92165392747439,1.8424710937142663,-8.408260523806025,0.14579180571567338,0.00938601035309061,-0.5241329566628594,-0.9112681116034027,-0.1944637399970084,-0.3227527654504625,-0.33267470114538567,0,1,2.7359464285713617,0,0.0,1,0,0.3333333333333333,62.15299235648463,0.33333333333333326,20.0,82.48632568981796,False,True,True,1377.337499999976,STOP_HIT,4
2015-01-16 11:15:00+05:30,2015,1,16,11,15,4,BUY,8501.75,8463.249285714286,8617.252142857142,3.0,trend_pullback_buy,STRONG_UPTREND,8501.75,0.2515868581678553,53.51223406411947,44.29637911476524,45.246749275429465,0.7554466948440606,0.7211159609669128,0.007198057104480877,0.49409275468530467,0.3020239141591441,0.11977612199933763,0.2866720439673509,0.8566978191892671,1,0,1.3586089285713825,0,0.0,2,0,0.5,69.13229441729975,0.33333333333333326,20.0,89.46562775063308,False,True,True,8662.66071428563,TARGET_HIT,5
2015-01-23 10:15:00+05:30,2015,1,23,10,15,4,BUY,8813.85,8774.905714285715,8930.682857142858,3.0,trend_pullback_buy,STRONG_UPTREND,8813.85,0.24547404693424993,66.7697024969799,32.521782366863654,34.852696968659075,3.9590555144651276,0.734464635731946,0.019915554221707772,0.8253543361131044,0.6043899599356362,0.03179073100514351,0.34080128644258245,0.7651369546258557,1,0,0.0,0,0.0,3,0,0.6,59.51306942011819,0.33333333333333326,20.0,79.84640275345153,False,True,True,2044.5750000000317,STOP_HIT,6
2015-01-23 10:30:00+05:30,2015,1,23,10,30,4,BUY,8818.3,8779.259285714284,8935.422142857144,3.0,trend_pullback_buy,STRONG_UPTREND,8818.3,0.24595767567769095,67.72344677581523,34.73325689996342,35.165793269188725,3.844936633495305,0.7373754927537498,0.0203630746728064,0.8878007482238104,0.6839148702959319,0.06582556666134831,0.3557480093215437,0.7837607034452576,1,0,0.0,1,0.027220047891614595,3,0,0.6,60.839954139978055,0.33333333333333326,20.0,81.17328747331139,False,True,,,,7
2015-01-23 10:45:00+05:30,2015,1,23,10,45,4,BUY,8806.25,8766.733571428571,8924.799285714287,3.0,trend_pullback_buy,STRONG_UPTREND,8806.25,0.24929534624353822,65.38416688959472,36.027487751785515,34.86328691667768,3.1881872528858324,0.6544105767862171,0.020416699346685985,0.8093365615216008,0.6158346044205176,-0.056737675253271114,0.1987007236665006,0.6205498595894143,1,0,0.0,1,0.027220047891614595,3,0,0.6,61.61649265107131,0.33333333333333326,20.0,81.94982598440464,False,True,,,,8
2015-01-23 11:00:00+05:30,2015,1,23,11,0,4,BUY,8805.0,8765.676428571429,8922.970714285713,3.0,trend_pullback_buy,STRONG_UPTREND,8805.0,0.2481138963251417,67.8267092381551,35.99963232478951,34.44520923160417,2.493098611031087,0.6334947022685403,0.020418369527882407,0.5085355204355935,0.5688048245613864,-0.05674731814594436,0.16767920170139838,0.5823536662976858,1,0,0.0,1,0.027220047891614595,3,0,0.6,61.59977939487371,0.33333333333333326,20.0,81.93311272820705,False,True,,,,9
2015-01-23 11:15:00+05:30,2015,1,23,11,15,4,BUY,8805.0,8766.923571428571,8919.229285714286,3.0,trend_pullback_buy,STRONG_UPTREND,8805.0,0.24024499067088623,66.6661751835423,37.4841744841474,33.975450122419716,1.821005551661969,0.6183441150208815,0.020189232905412056,0.489608655459306,0.6740185569485746,-0.045403007514577265,0.15241240482819496,0.5593885168849955,1,0,0.0,1,0.027220047891614595,3,0,0.6,62.49050469048844,0.33333333333333326,20.0,82.82383802382178,False,True,,,,10
2015-01-23 11:30:00+05:30,2015,1,23,11,30,4,BUY,8808.95,8770.545714285714,8924.162857142861,3.0,trend_pullback_buy,STRONG_UPTREND,8808.95,0.24220496524233268,67.69460838759771,39.4358622905706,33.61864015700121,1.317776027619118,0.624679134889353,0.01991877155546054,0.5346891726869085,0.7122726986903638,-0.00045000146440266064,0.17936932348201484,0.580656791522971,1,0,0.0,1,0.027220047891614595,3,0,0.6,61.83927765053353,0.33333333333333326,20.0,82.17261098386686,False,True,,,,11
2015-01-28 12:30:00+05:30,2015,1,28,12,30,2,BUY,8943.8,8908.07,9050.989999999998,3.0,trend_pullback_buy,STRONG_UPTREND,8943.8,0.22194145665153345,62.35900560169835,73.2786844043384,32.75170436094413,7.937142262993262,0.7174248933150662,0.012943795974027996,0.3889259918173904,1.0467566361433311,2.115005059977193e-07,0.28114368532086154,0.6928185934308217,1,0,0.0,0,0.0,4,0,0.6666666666666666,75.0,0.33333333333333326,20.0,95.33333333333333,False,True,False,-2679.7499999999673,STOP_HIT,12
2015-01-28 13:00:00+05:30,2015,1,28,13,0,2,BUY,8928.7,8892.153571428573,9038.339285714284,3.0,trend_pullback_buy,STRONG_UPTREND,8928.7,0.2273967254871515,61.94091391507254,66.97375021704468,31.57956069332795,5.427730501748179,0.5492306772174528,0.011307086660428078,0.3326179051814204,0.5076770678553721,-0.10615113383711794,0.09342938381302623,0.4828903707468468,1,0,0.0,1,0.024506480591213606,4,0,0.6666666666666666,75.0,0.33333333333333326,20.0,95.33333333333333,False,True,,,,13
